ID,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,time,latitude,longitude,iridiumCepRadius
MS040_Christoffer_692132A_2,2017.06.21 20:29:00,,2017-06-21T20:29:00,,,,-1,0,0,,,2017.06.21 20:29:00,-21.087860,-53.746160,4
MS040_Christoffer_692132A_2,2017.06.27 12:30:16,,2017-06-27T12:30:16,,,,-1,0,0,,,2017.06.27 12:30:16,-21.095550,-53.777220,2
MS040_Christoffer_692132A_2,2017.06.30 04:29:24,,2017-06-30T04:29:24,,,,-1,0,0,,,2017.06.30 04:29:24,-21.087860,-53.746160,2
MS040_Christoffer_692132A_2,2017.07.04 08:29:35,,2017-07-04T08:29:35,,,,-1,0,0,,,2017.07.04 08:29:35,-21.095550,-53.777220,3
MS040_Christoffer_692132A_2,2017.07.08 00:29:28,,2017-07-08T00:29:28,,,,-1,0,0,,,2017.07.08 00:29:28,-21.098350,-53.723380,9
MS040_Christoffer_692132A_2,2017.07.11 20:28:59,,2017-07-11T20:28:59,,,,-1,0,0,,,2017.07.11 20:28:59,-21.095550,-53.777220,2
MS040_Christoffer_692132A_2,2017.07.16 00:29:12,,2017-07-16T00:29:12,,,,-1,0,0,,,2017.07.16 00:29:12,-21.129260,-53.777220,2
MS040_Christoffer_692132A_2,2017.07.19 20:29:00,,2017-07-19T20:29:00,,,,-1,0,0,,,2017.07.19 20:29:00,-21.095550,-53.777220,4
MS040_Christoffer_692132A_2,2017.07.24 20:30:07,,2017-07-24T20:30:07,,,,-1,0,0,,,2017.07.24 20:30:07,-21.129260,-53.777220,3
MS040_Christoffer_692132A_2,2017.07.27 20:29:00,,2017-07-27T20:29:00,,,,-1,0,0,,,2017.07.27 20:29:00,-21.095550,-53.777220,2
MS040_Christoffer_692132A_2,2017.07.31 20:28:58,,2017-07-31T20:28:58,,,,-1,0,0,,,2017.07.31 20:28:58,-21.094130,-53.253350,93
MS040_Christoffer_692132A_2,2017.08.05 00:29:14,,2017-08-05T00:29:14,,,,-1,0,0,,,2017.08.05 00:29:14,-21.092730,-53.831050,14
MS040_Christoffer_692132A_2,2017.08.08 20:28:58,,2017-08-08T20:28:58,,,,-1,0,0,,,2017.08.08 20:28:58,-21.129260,-53.777220,2
MS040_Christoffer_692132A_2,2017.08.12 20:28:59,,2017-08-12T20:28:59,,,,-1,0,0,,,2017.08.12 20:28:59,-21.095550,-53.777220,4
MS040_Christoffer_692132A_2,2017.08.16 20:29:01,,2017-08-16T20:29:01,,,,-1,0,0,,,2017.08.16 20:29:01,-21.095550,-53.777220,3
MS040_Christoffer_692132A_2,2017.08.20 20:28:58,,2017-08-20T20:28:58,,,,-1,0,0,,,2017.08.20 20:28:58,-21.090650,-53.692340,18
MS040_Christoffer_692132A_2,2017.08.24 20:18:50,,2017-08-24T20:18:50,,,,-1,0,0,,,2017.08.24 20:18:50,-21.134850,-53.669520,6
MS040_Christoffer_692132A_2,2017.08.24 20:29:07,,2017-08-24T20:29:07,,,,-1,0,0,,,2017.08.24 20:29:07,-21.134730,-54.856470,114
MS040_Christoffer_692132A_2,2017.08.28 20:28:55,,2017-08-28T20:28:55,,,,-1,0,0,,,2017.08.28 20:28:55,-21.095550,-53.777220,3
MS040_Christoffer_692132A_2,2017.09.02 04:29:24,,2017-09-02T04:29:24,,,,-1,0,0,,,2017.09.02 04:29:24,-21.095550,-53.777220,2
MS040_Christoffer_692132A_2,2017.09.06 00:29:05,,2017-09-06T00:29:05,,,,-1,0,0,,,2017.09.06 00:29:05,-21.087860,-53.746160,3
MS040_Christoffer_692132A_2,2017.09.10 20:30:19,,2017-09-10T20:30:19,,,,-1,0,0,,,2017.09.10 20:30:19,-21.139780,-53.754450,2
MS040_Christoffer_692132A_2,2017.09.14 00:29:03,,2017-09-14T00:29:03,,,,-1,0,0,,,2017.09.14 00:29:03,-21.087860,-53.746160,2
MS040_Christoffer_692132A_2,2017.09.18 00:29:04,,2017-09-18T00:29:04,,,,-1,0,0,,,2017.09.18 00:29:04,-21.102140,-54.995350,140
MS040_Christoffer_692132A_2,2017.09.22 04:29:42,,2017-09-22T04:29:42,,,,-1,0,0,,,2017.09.22 04:29:42,-21.051330,-53.799970,3
MS040_Christoffer_692132A_2,2017.09.26 20:30:12,,2017-09-26T20:30:12,,,,-1,0,0,,,2017.09.26 20:30:12,-21.095550,-53.777220,3
MS040_Christoffer_692132A_2,2017.09.29 20:28:58,,2017-09-29T20:28:58,,,,-1,0,0,,,2017.09.29 20:28:58,-21.095550,-53.777220,2
MS040_Christoffer_692132A_2,2017.10.03 20:28:59,,2017-10-03T20:28:59,,,,-1,0,0,,,2017.10.03 20:28:59,-21.087860,-53.746160,7
MS040_Christoffer_692132A_2,2017.10.08 04:29:33,,2017-10-08T04:29:33,,,,-1,0,0,,,2017.10.08 04:29:33,-21.090650,-53.692340,379
MS040_Christoffer_692132A_2,2017.10.12 08:29:21,,2017-10-12T08:29:21,,,,-1,0,0,,,2017.10.12 08:29:21,-21.061810,-53.777220,3
MS040_Christoffer_692132A_2,2017.10.16 04:29:25,,2017-10-16T04:29:25,,,,-1,0,0,,,2017.10.16 04:29:25,-21.061810,-53.777220,7
MS040_Christoffer_692132A_2,2017.10.20 00:29:12,,2017-10-20T00:29:12,,,,-1,0,0,,,2017.10.20 00:29:12,-21.054130,-53.746160,5
MS040_Christoffer_692132A_2,2017.10.23 20:28:58,,2017-10-23T20:28:58,,,,-1,0,0,,,2017.10.23 20:28:58,-21.139780,-53.754450,6
MS040_Christoffer_692132A_2,2017.10.28 04:29:16,,2017-10-28T04:29:16,,,,-1,0,0,,,2017.10.28 04:29:16,-21.087860,-53.746160,4
MS040_Christoffer_692132A_2,2017.10.31 20:28:57,,2017-10-31T20:28:57,,,,-1,0,0,,,2017.10.31 20:28:57,-21.129260,-53.777220,8
MS040_Christoffer_692132A_2,2017.11.05 00:29:06,,2017-11-05T00:29:06,,,,-1,0,0,,,2017.11.05 00:29:06,-21.095550,-53.777220,2
MS040_Christoffer_692132A_2,2017.11.08 20:29:05,,2017-11-08T20:29:05,,,,-1,0,0,,,2017.11.08 20:29:05,-21.098350,-53.723380,3
MS040_Christoffer_692132A_2,2017.11.12 20:28:59,,2017-11-12T20:28:59,,,,-1,0,0,,,2017.11.12 20:28:59,-21.095550,-53.777220,3
MS040_Christoffer_692132A_2,2017.11.17 00:29:22,,2017-11-17T00:29:22,,,,-1,0,0,,,2017.11.17 00:29:22,-21.059690,-53.638490,14
MS040_Christoffer_692132A_2,2017.11.22 00:30:08,,2017-11-22T00:30:08,,,,-1,0,0,,,2017.11.22 00:30:08,-21.095550,-53.777220,3
MS040_Christoffer_692132A_2,2017.11.25 04:29:08,,2017-11-25T04:29:08,,,,-1,0,0,,,2017.11.25 04:29:08,-21.054130,-53.746160,2
MS040_Christoffer_692132A_2,2017.11.29 16:30:00,,2017-11-29T16:30:00,,,,-1,0,0,,,2017.11.29 16:30:00,-21.129260,-53.777220,4
MS040_Christoffer_692132A_2,2017.12.01 20:32:08,,2017-12-01T20:32:08,,,,-1,0,0,,,2017.12.01 20:32:08,-21.132070,-53.723380,3
