ID,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,time,latitude,longitude,horizontalError,fixType
MS040_Hamish_696831A_2,2017.07.22 00:01:01,,2017-07-22T00:01:01,,,,-1,0,-1,,,2017.07.22 00:01:01,-21.025177,-53.966480,18.50,
MS040_Hamish_696831A_2,2017.07.22 16:01:55,,2017-07-22T16:01:55,,,,-1,0,-1,,,2017.07.22 16:01:55,-21.024597,-53.969012,21.50,
MS040_Hamish_696831A_2,2017.07.23 00:01:01,,2017-07-23T00:01:01,,,,-1,0,-1,,,2017.07.23 00:01:01,-21.018718,-53.960364,20.50,
MS040_Hamish_696831A_2,2017.07.23 16:01:49,,2017-07-23T16:01:49,,,,-1,0,-1,,,2017.07.23 16:01:49,-21.023653,-53.937029,15.50,
MS040_Hamish_696831A_2,2017.07.24 00:00:40,,2017-07-24T00:00:40,,,,-1,0,-1,,,2017.07.24 00:00:40,-21.013675,-53.940366,6.50,
MS040_Hamish_696831A_2,2017.07.24 08:01:01,,2017-07-24T08:01:01,,,,-1,0,-1,,,2017.07.24 08:01:01,-21.010285,-53.939754,34.50,
MS040_Hamish_696831A_2,2017.07.24 16:00:35,,2017-07-24T16:00:35,,,,-1,0,-1,,,2017.07.24 16:00:35,-21.009201,-53.940849,7.50,
MS040_Hamish_696831A_2,2017.07.25 00:00:41,,2017-07-25T00:00:41,,,,-1,0,-1,,,2017.07.25 00:00:41,-21.013986,-53.944518,9.50,
MS040_Hamish_696831A_2,2017.07.25 08:01:36,,2017-07-25T08:01:36,,,,-1,0,-1,,,2017.07.25 08:01:36,-21.018106,-53.945559,84.50,
MS040_Hamish_696831A_2,2017.07.25 16:00:35,,2017-07-25T16:00:35,,,,-1,0,-1,,,2017.07.25 16:00:35,-21.018128,-53.945644,9.50,
MS040_Hamish_696831A_2,2017.07.26 00:00:41,,2017-07-26T00:00:41,,,,-1,0,-1,,,2017.07.26 00:00:41,-21.017430,-53.944411,9.50,
MS040_Hamish_696831A_2,2017.07.26 08:00:50,,2017-07-26T08:00:50,,,,-1,0,-1,,,2017.07.26 08:00:50,-21.018085,-53.945623,18.50,
MS040_Hamish_696831A_2,2017.07.26 16:00:34,,2017-07-26T16:00:34,,,,-1,0,-1,,,2017.07.26 16:00:34,-21.018117,-53.945644,9.50,
MS040_Hamish_696831A_2,2017.07.27 00:00:43,,2017-07-27T00:00:43,,,,-1,0,-1,,,2017.07.27 00:00:43,-21.017355,-53.942007,9.50,
MS040_Hamish_696831A_2,2017.07.27 08:00:34,,2017-07-27T08:00:34,,,,-1,0,-1,,,2017.07.27 08:00:34,-21.020059,-53.938585,9.50,
MS040_Hamish_696831A_2,2017.07.28 00:01:30,,2017-07-28T00:01:30,,,,-1,0,-1,,,2017.07.28 00:01:30,-21.017677,-53.934368,20.50,
MS040_Hamish_696831A_2,2017.07.28 08:00:53,,2017-07-28T08:00:53,,,,-1,0,-1,,,2017.07.28 08:00:53,-21.018042,-53.945655,60.50,
MS040_Hamish_696831A_2,2017.07.28 16:00:36,,2017-07-28T16:00:36,,,,-1,0,-1,,,2017.07.28 16:00:36,-21.018106,-53.945634,9.50,
MS040_Hamish_696831A_2,2017.07.29 00:00:38,,2017-07-29T00:00:38,,,,-1,0,-1,,,2017.07.29 00:00:38,-21.017012,-53.943767,9.50,
MS040_Hamish_696831A_2,2017.07.29 08:00:46,,2017-07-29T08:00:46,,,,-1,0,-1,,,2017.07.29 08:00:46,-21.024533,-53.935838,48.50,
MS040_Hamish_696831A_2,2017.07.29 16:00:46,,2017-07-29T16:00:46,,,,-1,0,-1,,,2017.07.29 16:00:46,-21.024908,-53.935667,17.50,
MS040_Hamish_696831A_2,2017.07.30 00:00:48,,2017-07-30T00:00:48,,,,-1,0,-1,,,2017.07.30 00:00:48,-21.025338,-53.936686,18.50,
MS040_Hamish_696831A_2,2017.07.30 08:01:00,,2017-07-30T08:01:00,,,,-1,0,-1,,,2017.07.30 08:01:00,-21.025316,-53.934004,28.50,
MS040_Hamish_696831A_2,2017.07.30 16:01:31,,2017-07-30T16:01:31,,,,-1,0,-1,,,2017.07.30 16:01:31,-21.025316,-53.933961,31.50,
MS040_Hamish_696831A_2,2017.07.31 00:01:01,,2017-07-31T00:01:01,,,,-1,0,-1,,,2017.07.31 00:01:01,-21.013740,-53.940194,16.50,
MS040_Hamish_696831A_2,2017.07.31 08:01:49,,2017-07-31T08:01:49,,,,-1,0,-1,,,2017.07.31 08:01:49,-21.012291,-53.936622,15.50,
MS040_Hamish_696831A_2,2017.07.31 16:00:40,,2017-07-31T16:00:40,,,,-1,0,-1,,,2017.07.31 16:00:40,-21.011959,-53.936439,9.50,
MS040_Hamish_696831A_2,2017.08.01 00:00:47,,2017-08-01T00:00:47,,,,-1,0,-1,,,2017.08.01 00:00:47,-21.014094,-53.940859,14.50,
MS040_Hamish_696831A_2,2017.08.01 08:00:37,,2017-08-01T08:00:37,,,,-1,0,-1,,,2017.08.01 08:00:37,-21.024866,-53.935677,9.50,
MS040_Hamish_696831A_2,2017.08.01 16:00:36,,2017-08-01T16:00:36,,,,-1,0,-1,,,2017.08.01 16:00:36,-21.024887,-53.935688,9.50,
MS040_Hamish_696831A_2,2017.08.02 00:00:35,,2017-08-02T00:00:35,,,,-1,0,-1,,,2017.08.02 00:00:35,-21.018139,-53.943112,9.50,
MS040_Hamish_696831A_2,2017.08.02 08:00:47,,2017-08-02T08:00:47,,,,-1,0,-1,,,2017.08.02 08:00:47,-21.021658,-53.940924,73.50,
MS040_Hamish_696831A_2,2017.08.02 16:00:34,,2017-08-02T16:00:34,,,,-1,0,-1,,,2017.08.02 16:00:34,-21.021701,-53.940763,9.50,
MS040_Hamish_696831A_2,2017.08.03 00:00:46,,2017-08-03T00:00:46,,,,-1,0,-1,,,2017.08.03 00:00:46,-21.016465,-53.945172,25.50,
