ID,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,time,latitude,longitude,horizontalError,fixType
MS040_Nash_695503A_2,2017.06.17 00:00:39,,2017-06-17T00:00:39,,,,-1,0,-1,,,2017.06.17 00:00:39,-21.030445,-53.993484,9.50,
MS040_Nash_695503A_2,2017.06.17 08:00:47,,2017-06-17T08:00:47,,,,-1,0,-1,,,2017.06.17 08:00:47,-21.036957,-53.990459,7.50,
MS040_Nash_695503A_2,2017.06.17 16:01:06,,2017-06-17T16:01:06,,,,-1,0,-1,,,2017.06.17 16:01:06,-21.036968,-53.990287,52.50,
MS040_Nash_695503A_2,2017.06.18 00:01:00,,2017-06-18T00:01:00,,,,-1,0,-1,,,2017.06.18 00:01:00,-21.047557,-53.996478,28.50,
MS040_Nash_695503A_2,2017.06.18 08:02:44,,2017-06-18T08:02:44,,,,-1,0,-1,,,2017.06.18 08:02:44,-21.050572,-53.992594,77.50,
MS040_Nash_695503A_2,2017.06.19 00:00:54,,2017-06-19T00:00:54,,,,-1,0,-1,,,2017.06.19 00:00:54,-21.053361,-53.989933,36.50,
MS040_Nash_695503A_2,2017.06.19 08:00:35,,2017-06-19T08:00:35,,,,-1,0,-1,,,2017.06.19 08:00:35,-21.044156,-53.983989,8.50,
MS040_Nash_695503A_2,2017.06.19 16:01:01,,2017-06-19T16:01:01,,,,-1,0,-1,,,2017.06.19 16:01:01,-21.044263,-53.983957,16.50,
MS040_Nash_695503A_2,2017.06.20 08:00:36,,2017-06-20T08:00:36,,,,-1,0,-1,,,2017.06.20 08:00:36,-21.031614,-53.979537,9.50,
MS040_Nash_695503A_2,2017.06.20 16:01:18,,2017-06-20T16:01:18,,,,-1,0,-1,,,2017.06.20 16:01:18,-21.031024,-53.981940,26.50,
MS040_Nash_695503A_2,2017.06.21 08:01:05,,2017-06-21T08:01:05,,,,-1,0,-1,,,2017.06.21 08:01:05,-21.027988,-53.990330,54.50,
MS040_Nash_695503A_2,2017.06.21 16:01:01,,2017-06-21T16:01:01,,,,-1,0,-1,,,2017.06.21 16:01:01,-21.030509,-53.990684,21.50,
MS040_Nash_695503A_2,2017.06.22 00:00:35,,2017-06-22T00:00:35,,,,-1,0,-1,,,2017.06.22 00:00:35,-21.041420,-54.001992,8.50,
MS040_Nash_695503A_2,2017.06.22 08:00:34,,2017-06-22T08:00:34,,,,-1,0,-1,,,2017.06.22 08:00:34,-21.041420,-54.001992,7.50,
MS040_Nash_695503A_2,2017.06.22 16:00:44,,2017-06-22T16:00:44,,,,-1,0,-1,,,2017.06.22 16:00:44,-21.041442,-54.001971,9.50,
MS040_Nash_695503A_2,2017.06.23 00:00:39,,2017-06-23T00:00:39,,,,-1,0,-1,,,2017.06.23 00:00:39,-21.055711,-53.984569,8.50,
MS040_Nash_695503A_2,2017.06.23 08:01:01,,2017-06-23T08:01:01,,,,-1,0,-1,,,2017.06.23 08:01:01,-21.053587,-53.986135,16.50,
MS040_Nash_695503A_2,2017.06.23 16:00:35,,2017-06-23T16:00:35,,,,-1,0,-1,,,2017.06.23 16:00:35,-21.053597,-53.986124,8.50,
MS040_Nash_695503A_2,2017.06.24 00:00:34,,2017-06-24T00:00:34,,,,-1,0,-1,,,2017.06.24 00:00:34,-21.053748,-53.990040,9.50,
MS040_Nash_695503A_2,2017.06.24 08:00:33,,2017-06-24T08:00:33,,,,-1,0,-1,,,2017.06.24 08:00:33,-21.053039,-53.976790,9.50,
MS040_Nash_695503A_2,2017.06.24 16:00:35,,2017-06-24T16:00:35,,,,-1,0,-1,,,2017.06.24 16:00:35,-21.053050,-53.976790,8.50,
MS040_Nash_695503A_2,2017.06.25 00:00:34,,2017-06-25T00:00:34,,,,-1,0,-1,,,2017.06.25 00:00:34,-21.041302,-53.975406,8.50,
MS040_Nash_695503A_2,2017.06.25 08:00:47,,2017-06-25T08:00:47,,,,-1,0,-1,,,2017.06.25 08:00:47,-21.029522,-53.981908,9.50,
MS040_Nash_695503A_2,2017.06.25 16:01:24,,2017-06-25T16:01:24,,,,-1,0,-1,,,2017.06.25 16:01:24,-21.030284,-53.981908,36.50,
MS040_Nash_695503A_2,2017.06.26 00:00:34,,2017-06-26T00:00:34,,,,-1,0,-1,,,2017.06.26 00:00:34,-21.033449,-53.992079,8.50,
MS040_Nash_695503A_2,2017.06.26 08:00:39,,2017-06-26T08:00:39,,,,-1,0,-1,,,2017.06.26 08:00:39,-21.053587,-53.986135,9.50,
MS040_Nash_695503A_2,2017.06.26 16:00:35,,2017-06-26T16:00:35,,,,-1,0,-1,,,2017.06.26 16:00:35,-21.053597,-53.986124,9.50,
MS040_Nash_695503A_2,2017.06.27 00:01:19,,2017-06-27T00:01:19,,,,-1,0,-1,,,2017.06.27 00:01:19,-21.049317,-53.991993,27.50,
MS040_Nash_695503A_2,2017.06.27 08:00:36,,2017-06-27T08:00:36,,,,-1,0,-1,,,2017.06.27 08:00:36,-21.055217,-53.975986,9.50,
MS040_Nash_695503A_2,2017.06.27 16:00:42,,2017-06-27T16:00:42,,,,-1,0,-1,,,2017.06.27 16:00:42,-21.055250,-53.975975,9.50,
MS040_Nash_695503A_2,2017.06.28 00:01:56,,2017-06-28T00:01:56,,,,-1,0,-1,,,2017.06.28 00:01:56,-21.040111,-53.982305,18.50,
MS040_Nash_695503A_2,2017.06.28 08:00:32,,2017-06-28T08:00:32,,,,-1,0,-1,,,2017.06.28 08:00:32,-21.029962,-53.988764,9.50,
MS040_Nash_695503A_2,2017.06.28 16:00:34,,2017-06-28T16:00:34,,,,-1,0,-1,,,2017.06.28 16:00:34,-21.029747,-53.989053,7.50,
MS040_Nash_695503A_2,2017.06.29 00:00:32,,2017-06-29T00:00:32,,,,-1,0,-1,,,2017.06.29 00:00:32,-21.025702,-53.987390,9.50,
MS040_Nash_695503A_2,2017.06.29 08:00:36,,2017-06-29T08:00:36,,,,-1,0,-1,,,2017.06.29 08:00:36,-21.016905,-53.985202,8.50,
MS040_Nash_695503A_2,2017.06.29 16:00:33,,2017-06-29T16:00:33,,,,-1,0,-1,,,2017.06.29 16:00:33,-21.016926,-53.985202,8.50,
MS040_Nash_695503A_2,2017.06.30 00:00:37,,2017-06-30T00:00:37,,,,-1,0,-1,,,2017.06.30 00:00:37,-21.016862,-53.990073,8.50,
MS040_Nash_695503A_2,2017.06.30 08:00:34,,2017-06-30T08:00:34,,,,-1,0,-1,,,2017.06.30 08:00:34,-21.026142,-53.987820,9.50,
