ID,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,time,latitude,longitude,horizontalError,fixType
MS040_Phoenix_696829A_2,2017.07.25 21:14:35,,2017-07-25T21:14:35,,,,-1,0,-1,,,2017.07.25 21:14:35,-21.026292,-53.967595,9.38,
MS040_Phoenix_696829A_2,2017.07.25 21:22:00,,2017-07-25T21:22:00,,,,-1,0,-1,,,2017.07.25 21:22:00,-21.026350,-53.967571,9.83,
MS040_Phoenix_696829A_2,2017.07.26 00:00:36,,2017-07-26T00:00:36,,,,-1,0,-1,,,2017.07.26 00:00:36,-21.028031,-53.965364,8.50,
MS040_Phoenix_696829A_2,2017.07.26 08:01:25,,2017-07-26T08:01:25,,,,-1,0,-1,,,2017.07.26 08:01:25,-21.024018,-53.962650,62.50,
MS040_Phoenix_696829A_2,2017.07.27 00:00:50,,2017-07-27T00:00:50,,,,-1,0,-1,,,2017.07.27 00:00:50,-21.014866,-53.964109,12.50,
MS040_Phoenix_696829A_2,2017.07.27 08:00:56,,2017-07-27T08:00:56,,,,-1,0,-1,,,2017.07.27 08:00:56,-21.019683,-53.971190,30.50,
MS040_Phoenix_696829A_2,2017.07.27 16:00:47,,2017-07-27T16:00:47,,,,-1,0,-1,,,2017.07.27 16:00:47,-21.019716,-53.971147,11.50,
MS040_Phoenix_696829A_2,2017.07.28 00:01:02,,2017-07-28T00:01:02,,,,-1,0,-1,,,2017.07.28 00:01:02,-21.024951,-53.961330,15.50,
MS040_Phoenix_696829A_2,2017.07.28 08:00:46,,2017-07-28T08:00:46,,,,-1,0,-1,,,2017.07.28 08:00:46,-21.018063,-53.972477,10.50,
MS040_Phoenix_696829A_2,2017.07.28 16:02:02,,2017-07-28T16:02:02,,,,-1,0,-1,,,2017.07.28 16:02:02,-21.018031,-53.972520,28.50,
MS040_Phoenix_696829A_2,2017.07.29 00:00:35,,2017-07-29T00:00:35,,,,-1,0,-1,,,2017.07.29 00:00:35,-21.022323,-53.978925,8.50,
MS040_Phoenix_696829A_2,2017.07.29 16:01:18,,2017-07-29T16:01:18,,,,-1,0,-1,,,2017.07.29 16:01:18,-21.019920,-53.977745,25.50,
MS040_Phoenix_696829A_2,2017.07.30 00:00:32,,2017-07-30T00:00:32,,,,-1,0,-1,,,2017.07.30 00:00:32,-21.019608,-53.980857,8.50,
MS040_Phoenix_696829A_2,2017.07.30 08:00:36,,2017-07-30T08:00:36,,,,-1,0,-1,,,2017.07.30 08:00:36,-21.020638,-53.985191,8.50,
MS040_Phoenix_696829A_2,2017.07.30 16:00:46,,2017-07-30T16:00:46,,,,-1,0,-1,,,2017.07.30 16:00:46,-21.020595,-53.985223,15.50,
MS040_Phoenix_696829A_2,2017.07.31 00:00:32,,2017-07-31T00:00:32,,,,-1,0,-1,,,2017.07.31 00:00:32,-21.021110,-53.983346,9.50,
MS040_Phoenix_696829A_2,2017.07.31 08:00:49,,2017-07-31T08:00:49,,,,-1,0,-1,,,2017.07.31 08:00:49,-21.015961,-53.983700,10.50,
MS040_Phoenix_696829A_2,2017.07.31 16:00:54,,2017-07-31T16:00:54,,,,-1,0,-1,,,2017.07.31 16:00:54,-21.015971,-53.983710,25.50,
MS040_Phoenix_696829A_2,2017.08.01 00:00:34,,2017-08-01T00:00:34,,,,-1,0,-1,,,2017.08.01 00:00:34,-21.017237,-53.983195,8.50,
MS040_Phoenix_696829A_2,2017.08.01 08:00:42,,2017-08-01T08:00:42,,,,-1,0,-1,,,2017.08.01 08:00:42,-21.032279,-53.972563,9.50,
MS040_Phoenix_696829A_2,2017.08.01 16:00:38,,2017-08-01T16:00:38,,,,-1,0,-1,,,2017.08.01 16:00:38,-21.032258,-53.972563,9.50,
MS040_Phoenix_696829A_2,2017.08.02 00:00:54,,2017-08-02T00:00:54,,,,-1,0,-1,,,2017.08.02 00:00:54,-21.028352,-53.980964,12.50,
MS040_Phoenix_696829A_2,2017.08.02 08:01:00,,2017-08-02T08:01:00,,,,-1,0,-1,,,2017.08.02 08:01:00,-21.016014,-53.983710,41.50,
MS040_Phoenix_696829A_2,2017.08.03 00:00:34,,2017-08-03T00:00:34,,,,-1,0,-1,,,2017.08.03 00:00:34,-21.019362,-53.981243,7.50,
MS040_Phoenix_696829A_2,2017.08.03 08:01:30,,2017-08-03T08:01:30,,,,-1,0,-1,,,2017.08.03 08:01:30,-21.029264,-53.975514,19.50,
MS040_Phoenix_696829A_2,2017.08.03 16:01:00,,2017-08-03T16:01:00,,,,-1,0,-1,,,2017.08.03 16:01:00,-21.027129,-53.978571,17.50,
MS040_Phoenix_696829A_2,2017.08.04 00:00:54,,2017-08-04T00:00:54,,,,-1,0,-1,,,2017.08.04 00:00:54,-21.028031,-53.972188,33.50,
MS040_Phoenix_696829A_2,2017.08.04 08:00:36,,2017-08-04T08:00:36,,,,-1,0,-1,,,2017.08.04 08:00:36,-21.019630,-53.964731,9.50,
MS040_Phoenix_696829A_2,2017.08.04 16:00:34,,2017-08-04T16:00:34,,,,-1,0,-1,,,2017.08.04 16:00:34,-21.018675,-53.962639,9.50,
MS040_Phoenix_696829A_2,2017.08.05 00:00:49,,2017-08-05T00:00:49,,,,-1,0,-1,,,2017.08.05 00:00:49,-21.017892,-53.969838,38.50,
MS040_Phoenix_696829A_2,2017.08.05 08:00:54,,2017-08-05T08:00:54,,,,-1,0,-1,,,2017.08.05 08:00:54,-21.017988,-53.972531,18.50,
MS040_Phoenix_696829A_2,2017.08.05 16:00:47,,2017-08-05T16:00:47,,,,-1,0,-1,,,2017.08.05 16:00:47,-21.018021,-53.972563,10.50,
MS040_Phoenix_696829A_2,2017.08.06 00:00:37,,2017-08-06T00:00:37,,,,-1,0,-1,,,2017.08.06 00:00:37,-21.028889,-53.968711,9.50,
MS040_Phoenix_696829A_2,2017.08.06 08:00:35,,2017-08-06T08:00:35,,,,-1,0,-1,,,2017.08.06 08:00:35,-21.018460,-53.969334,9.50,
MS040_Phoenix_696829A_2,2017.08.06 16:02:28,,2017-08-06T16:02:28,,,,-1,0,-1,,,2017.08.06 16:02:28,-21.018364,-53.969387,94.50,
MS040_Phoenix_696829A_2,2017.08.07 00:00:33,,2017-08-07T00:00:33,,,,-1,0,-1,,,2017.08.07 00:00:33,-21.015843,-53.975814,9.50,
MS040_Phoenix_696829A_2,2017.08.07 08:01:00,,2017-08-07T08:01:00,,,,-1,0,-1,,,2017.08.07 08:01:00,-21.008976,-53.979580,31.50,
MS040_Phoenix_696829A_2,2017.08.07 16:00:47,,2017-08-07T16:00:47,,,,-1,0,-1,,,2017.08.07 16:00:47,-21.008998,-53.979558,12.50,
MS040_Phoenix_696829A_2,2017.08.08 00:00:48,,2017-08-08T00:00:48,,,,-1,0,-1,,,2017.08.08 00:00:48,-21.018965,-53.985899,8.50,
MS040_Phoenix_696829A_2,2017.08.08 08:00:36,,2017-08-08T08:00:36,,,,-1,0,-1,,,2017.08.08 08:00:36,-21.018943,-53.986618,8.50,
MS040_Phoenix_696829A_2,2017.08.08 16:01:01,,2017-08-08T16:01:01,,,,-1,0,-1,,,2017.08.08 16:01:01,-21.018922,-53.986639,43.50,
MS040_Phoenix_696829A_2,2017.08.09 00:00:33,,2017-08-09T00:00:33,,,,-1,0,-1,,,2017.08.09 00:00:33,-21.018890,-53.985717,9.50,
MS040_Phoenix_696829A_2,2017.08.09 08:00:37,,2017-08-09T08:00:37,,,,-1,0,-1,,,2017.08.09 08:00:37,-21.015907,-53.983743,9.50,
MS040_Phoenix_696829A_2,2017.08.09 16:01:31,,2017-08-09T16:01:31,,,,-1,0,-1,,,2017.08.09 16:01:31,-21.015950,-53.983678,14.50,
MS040_Phoenix_696829A_2,2017.08.10 00:00:33,,2017-08-10T00:00:33,,,,-1,0,-1,,,2017.08.10 00:00:33,-21.017184,-53.978561,9.50,
MS040_Phoenix_696829A_2,2017.08.10 08:00:50,,2017-08-10T08:00:50,,,,-1,0,-1,,,2017.08.10 08:00:50,-21.015596,-53.968830,13.50,
MS040_Phoenix_696829A_2,2017.08.10 16:00:47,,2017-08-10T16:00:47,,,,-1,0,-1,,,2017.08.10 16:00:47,-21.015639,-53.968690,11.50,
MS040_Phoenix_696829A_2,2017.08.11 00:00:49,,2017-08-11T00:00:49,,,,-1,0,-1,,,2017.08.11 00:00:49,-21.012506,-53.967167,15.50,
