FID,id,banco,nec,sexo,ec,dna,coleta,genero,especie,nomecomum,geo,latitude,longitude,recebido,local,municipio,st,pais,semregistroi,semregistroii,coletorcam,coletorlab
amostras.fid-7892bbd4_16907168fe7_-7fff,7,ATR-0355,,,,143.5,04/04/13,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-53.0692560495015 -20.4428202310646),,,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7ffe,12,ATR-0356,,M,,108,04/06/13,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-55.6019709429463 -20.520969609814),,,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7ffd,29,ATR-0357,,M,,11.2,20/04/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-55.0197287652664 -20.4200833562773),,,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7ffc,30,ATR-0358,,,,19.5,20/04/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-55.132864425124 -20.4439418167372),,,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7ffb,34,ATR-0359,,,,16.2,04/20/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-55.3646894786079 -20.5153718962346),,,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7ffa,50,ATR-0360,,M,,11.5,04/30/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-54.5183188857456 -20.8099701410031),,,,BR163/BR267-Nova Alvorada-Casa Verde,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7ff9,83,ATR-0361,,,,7,05/14/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-54.533552608968 -20.7512810735738),,,,BR163/BR267-Nova Alvorada-Casa Verde,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7ff8,99,ATR-0362,,,,91,05/18/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-55.1719455205665 -20.4527573057221),,,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7ff7,115,ATR-0364,,,,13.8,05/28/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-54.5172096264141 -20.8161302303806),,,,BR163/BR267-Nova Alvorada-Casa Verde,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7ff6,122,ATR-0366,,,,20.5,05/30/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-51.9547930832546 -20.7794692938385),,,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7ff5,123,ATR-0367,,M,,182,05/31/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-55.1293942155789 -20.4432451603474),,,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7ff4,124,ATR-0368,,M,,568,05/31/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-56.2425768127785 -20.3118257788726),,,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7ff3,135,ATR-0369,,M,,9.5,06/11/13,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-52.5187227411288 -21.7936784416078),,,,BR163/BR267-Nova Alvorada-Bataguaçu,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7ff2,136,ATR-0370,,,,12.6,06/13/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira,POINT (-54.0642360280243 -20.466699051164),,,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7ff1,137,ATR-0371,,F,,14.7,06/13/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira Mãe,POINT (-53.1200034916396 -20.4219514625676),,,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
amostras.fid-7892bbd4_16907168fe7_-7ff0,138,ATR-0372,,M,,290.5,06/13/2013,Myrmecophaga,Myrmecophaga tridactyla,Tamanduá Bandeira Filhote,POINT (-53.1200034916396 -20.4219514625676),,,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
