objectid_1,objectid,leg_radam,leg_atual,leg_carga,clas_domi,leg_uveg,nm_uveg,leg_uantr,nm_uantr,leg_contat,nm_contat,veg_pretet,nm_pretet,legenda,shape_leng,shape_area
10322,11510,Phs,Pahs,Pahs,Pahs,Pahs,Formao Pioneira com influncia fluvial e/ou lacustre herbcea sem palmeiras,,,,,,,Pahs - Formao Pioneira com influncia fluvial e/ou lacustre herbcea sem palmeiras,0.18598,0.00118
10324,11817,Fa,Fa,Fa,Fa,Fa,Floresta Estacional Semidecidual Aluvial,,,,,,,Fa - Floresta Estacional Semidecidual Aluvial,0.0186,2E-05
10325,11818,Fa,Fa,Fa,Fa,Fa,Floresta Estacional Semidecidual Aluvial,,,,,,,Fa - Floresta Estacional Semidecidual Aluvial,0.01864,2E-05
10326,11819,Fa,Fa,Fa,Fa,Fa,Floresta Estacional Semidecidual Aluvial,,,,,,,Fa - Floresta Estacional Semidecidual Aluvial,0.56974,0.00275
10327,11820,Fa,Fa,Fa,Fa,Fa,Floresta Estacional Semidecidual Aluvial,,,,,,,Fa - Floresta Estacional Semidecidual Aluvial,0.29531,0.00088
10330,11823,Re.F,Re.F,Re.F,Re,,,Re,Florestamento/Reflorestamento com Eucaliptos,,,F,Floresta Estacional Semidecidual,Re.F -  Florestamento/Reflorestamento com Eucaliptos em  Floresta Estacional Semidecidual,0.13098,0.00095
10343,11919,Ap.S,Ap.S,Ap.S,Ap,,,Ap,Pecuria (pastagens),,,S,Savana,Ap.S -  Pecuria (pastagens) em  Savana,0.22055,0.00167
10344,11920,Sa,Sa,Sa,Sa,Sa,Savana Arborizada,,,,,,,Sa - Savana Arborizada,5.84901,0.11011
10345,11921,Ap.S,Ap.S,Ap.S,Ap,,,Ap,Pecuria (pastagens),,,S,Savana,Ap.S -  Pecuria (pastagens) em  Savana,2.41977,0.03534
10346,11922,Sa,Sa,Sa,Sa,Sa,Savana Arborizada,,,,,,,Sa - Savana Arborizada,0.10469,0.00051
10347,11924,Ap.S,Ap.S,Ap.S,Ap,,,Ap,Pecuria (pastagens),,,S,Savana,Ap.S -  Pecuria (pastagens) em  Savana,7.85695,0.13924
10348,11926,Ap.S,Ap.S,Ap.S,Ap,,,Ap,Pecuria (pastagens),,,S,Savana,Ap.S -  Pecuria (pastagens) em  Savana,0.29933,0.00201
10349,11927,Ap.F,Ap.F,Ap.F,Ap,,,Ap,Pecuria (pastagens),,,F,Floresta Estacional Semidecidual,Ap.F -  Pecuria (pastagens) em  Floresta Estacional Semidecidual,1.68604,0.03472
10350,11928,Ap.S,Ap.S,Ap.S,Ap,,,Ap,Pecuria (pastagens),,,S,Savana,Ap.S -  Pecuria (pastagens) em  Savana,1.37485,0.01732
10351,11929,Ap.S,Ap.S,Ap.S,Ap,,,Ap,Pecuria (pastagens),,,S,Savana,Ap.S -  Pecuria (pastagens) em  Savana,0.25966,0.00299
10352,11930,Ap.S,Ap.S,Ap.S,Ap,,,Ap,Pecuria (pastagens),,,S,Savana,Ap.S -  Pecuria (pastagens) em  Savana,0.65007,0.00376
10353,11931,Sd,Sd,Sd,Sd,Sd,Savana Florestada,,,,,,,Sd - Savana Florestada,0.42875,0.00304
10354,11932,Ap.S,Ap.S,Ap.S,Ap,,,Ap,Pecuria (pastagens),,,S,Savana,Ap.S -  Pecuria (pastagens) em  Savana,0.97304,0.00922
10355,11933,Ap.S,Ap.S,Ap.S,Ap,,,Ap,Pecuria (pastagens),,,S,Savana,Ap.S -  Pecuria (pastagens) em  Savana,0.6048,0.00328
10356,11934,Ap.S,Ap.S,Ap.S,Ap,,,Ap,Pecuria (pastagens),,,S,Savana,Ap.S -  Pecuria (pastagens) em  Savana,2.27345,0.03122
10357,11935,Ap.S,Ap.S,Ap.S,Ap,,,Ap,Pecuria (pastagens),,,S,Savana,Ap.S -  Pecuria (pastagens) em  Savana,0.46186,0.00795
10358,11936,Magua,Magua,Magua,Magua,,,,,,,,,Corpo dgua continental,0.03243,5E-05
10359,11937,Ap.F,Ap.F,Ap.F,Ap,,,Ap,Pecuria (pastagens),,,F,Floresta Estacional Semidecidual,Ap.F -  Pecuria (pastagens) em  Floresta Estacional Semidecidual,2.82673,0.04352
