7,ATR-0355,,,,"143,5",04/04/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.4428202310646,-53.0692560495015,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
12,ATR-0356,,M,,108,06/04/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.520969609814,-55.6019709429463,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
29,ATR-0357,,M,,"11,2",20/04/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.4200833562773,-55.0197287652664,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
30,ATR-0358,,,,"19,5",20/04/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.4439418167372,-55.132864425124,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
34,ATR-0359,,,,"16,2",20/04/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.5153718962346,-55.3646894786079,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
50,ATR-0360,,M,,"11,5",30/04/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.8099701410031,-54.5183188857456,,BR163/BR267-Nova Alvorada-Casa Verde,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
83,ATR-0361,,,,7,14/05/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.7512810735738,-54.533552608968,,BR163/BR267-Nova Alvorada-Casa Verde,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
99,ATR-0362,,,,91,18/05/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.4527573057221,-55.1719455205665,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
110,ATR-0363,,,,29,18/05/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-19.9122775452033,-56.8609825659532,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
115,ATR-0364,,,,"13,8",28/05/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.8161302303806,-54.5172096264141,,BR163/BR267-Nova Alvorada-Casa Verde,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
121,ATR-0365,,,,"13,6",30/05/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.564892641769,-52.4954239780395,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
122,ATR-0366,,,,"20,5",30/05/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.7794692938385,-51.9547930832546,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
123,ATR-0367,,M,,182,31/05/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.4432451603474,-55.1293942155789,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
124,ATR-0368,,M,,568,31/05/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.3118257788726,-56.2425768127785,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
135,ATR-0369,,M,,"9,5",11/06/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-21.7936784416078,-52.5187227411288,,BR163/BR267-Nova Alvorada-Bataguaçu,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
136,ATR-0370,,,,"12,6",13/06/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.466699051164,-54.0642360280243,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
137,ATR-0371,,F,,"14,7",13/06/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira Mãe,-20.4219514625676,-53.1200034916396,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
138,ATR-0372,,M,,"290,5",13/06/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira Filhote,-20.4219514625676,-53.1200034916396,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
144,ATR-0373,,,,"713,5",15/06/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.4297853362389,-54.8989075980641,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
155,ATR-0374,,,,"1007,5",25/06/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-21.1775240492091,-54.4730732932831,,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
168,ATR-0375,,,,"10,4",09/07/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-21.747684975571,-53.2776027716776,,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
175,ATR-0376,,,,"51,5",11/07/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.466981624267,-53.4090683678381,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
176,ATR-0377,,M,,"12,1",11/07/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.4640141758351,-53.393787059503,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
179,ATR-0378,,M,,26,13/07/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.4284950674654,-54.9057564261098,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
182,ATR-0379,,,,"39,5",13/07/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.5048416509923,-55.8490024723875,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
192,ATR-0380,,,,"5,4",22/07/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-22.2140158440946,-52.8436128835901,,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
230,ATR-0381,,,,"106,5",23/08/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-21.8984310603004,-52.4886745380629,,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
231,ATR-0382,,,,"6,9",23/08/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-22.2053045563398,-52.9524870197882,,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
233,ATR-0383,,,,70,23/08/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.4438541571334,-55.1322713360037,,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
254,ATR-0384,,M,,"648,5",07/09/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.140490256746,-56.6260453767553,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
